document_id,title,document_type,topic,content,summary,department,project,system,technology,author_id,author_role,created_date,updated_date,status,approval_status,version,is_current,is_superseded,supersedes_document_id,authority_level,confidentiality_level,owner_team,source_type,url_or_reference,language
DOC-0124,Engineering Note: Frontend Architecture Guidelines for Project Gamma,Engineering Note,frontend architecture,Technical assessment and standard guidelines regarding frontend architecture implementation for Project Gamma system Metrics Engine.,Comprehensive architecture guidelines covering frontend architecture within Project Gamma.,Architecture,Project Gamma,Metrics Engine,Frontend Architecture,emp_719,Architecture Board,2024-10-22,2026-01-25,Draft,Draft,1.2,True,False,,Architecture Board,Internal,Architecture Core Team,Confluence,https://wiki.org/docs/DOC-0124,en
DOC-0125,Engineering Note: Frontend Architecture Guidelines for Project Gamma,Engineering Note,frontend architecture,Technical assessment and standard guidelines regarding frontend architecture implementation for Project Gamma system Payment Gateway.,Comprehensive architecture guidelines covering frontend architecture within Project Gamma.,Platform,Project Gamma,Payment Gateway,Frontend Architecture,emp_853,Architecture Board,2023-10-20,2025-04-02,Draft,Rejected,1.1,True,False,,Architecture Board,Restricted,Platform Core Team,Git Markdown,https://wiki.org/docs/DOC-0125,en
DOC-0126,Engineering Note: Event Streaming Guidelines for Project Gamma,Engineering Note,event streaming,Technical assessment and standard guidelines regarding event streaming implementation for Project Gamma system Inventory System.,Comprehensive architecture guidelines covering event streaming within Project Gamma.,DevOps,Project Gamma,Inventory System,Event Streaming,emp_225,Architecture Team,2025-10-13,2025-11-19,Draft,Rejected,3.1,True,False,,Architecture Team,Public,DevOps Core Team,Confluence,https://wiki.org/docs/DOC-0126,en
DOC-0127,Meeting Decision: Monitoring Guidelines for Core Infrastructure,Meeting Decision,monitoring,Technical assessment and standard guidelines regarding monitoring implementation for Core Infrastructure system Payment Gateway.,Comprehensive architecture guidelines covering monitoring within Core Infrastructure.,Architecture,Core Infrastructure,Payment Gateway,Monitoring,emp_655,Unverified,2025-12-31,2026-03-17,Draft,Under Review,3.2,True,False,,Unverified,Internal,Architecture Core Team,Git Markdown,https://wiki.org/docs/DOC-0127,en
DOC-0128,Policy: Authorization Guidelines for Project Beta,Policy,authorization,Technical assessment and standard guidelines regarding authorization implementation for Project Beta system Data Pipeline.,Comprehensive architecture guidelines covering authorization within Project Beta.,Product,Project Beta,Data Pipeline,Authorization,emp_909,Architecture Team,2021-02-23,2023-03-04,Draft,Draft,3.0,True,False,,Architecture Team,Public,Product Core Team,Confluence,https://wiki.org/docs/DOC-0128,en
DOC-0129,Security Recommendation: Networking Guidelines for Project Omega,Security Recommendation,networking,Technical assessment and standard guidelines regarding networking implementation for Project Omega system Metrics Engine.,Comprehensive architecture guidelines covering networking within Project Omega.,Security,Project Omega,Metrics Engine,Networking,emp_228,Chief Architect,2024-08-08,2024-10-22,Draft,Rejected,3.1,True,False,,Chief Architect,Internal,Security Core Team,Git Markdown,https://wiki.org/docs/DOC-0129,en
DOC-0130,Architecture Decision Record: Frontend Architecture Guidelines for Project Omega,Architecture Decision Record,frontend architecture,Technical assessment and standard guidelines regarding frontend architecture implementation for Project Omega system Data Pipeline.,Comprehensive architecture guidelines covering frontend architecture within Project Omega.,Platform,Project Omega,Data Pipeline,Frontend Architecture,emp_614,Engineer,2025-08-30,2025-11-01,Draft,Under Review,1.1,True,False,,Engineer,Internal,Platform Core Team,Confluence,https://wiki.org/docs/DOC-0130,en
DOC-0131,Deprecated Document: Logging Guidelines for Enterprise Gateway,Deprecated Document,logging,Technical assessment and standard guidelines regarding logging implementation for Enterprise Gateway system Search Engine.,Comprehensive architecture guidelines covering logging within Enterprise Gateway.,Engineering,Enterprise Gateway,Search Engine,Logging,emp_750,Architecture Team,2022-07-17,2023-03-30,Draft,Draft,1.2,True,False,,Architecture Team,Internal,Engineering Core Team,Git Markdown,https://wiki.org/docs/DOC-0131,en
DOC-0132,Architecture Decision Record: Messaging Guidelines for Core Infrastructure,Architecture Decision Record,messaging,Technical assessment and standard guidelines regarding messaging implementation for Core Infrastructure system Event Bus.,Comprehensive architecture guidelines covering messaging within Core Infrastructure.,Data Engineering,Core Infrastructure,Event Bus,Messaging,emp_945,Architecture Board,2021-06-16,2021-09-17,Draft,Draft,3.1,True,False,,Architecture Board,Public,Data Engineering Core Team,Confluence,https://wiki.org/docs/DOC-0132,en
DOC-0133,Standard: Logging Guidelines for Core Infrastructure,Standard,logging,Technical assessment and standard guidelines regarding logging implementation for Core Infrastructure system Inventory System.,Comprehensive architecture guidelines covering logging within Core Infrastructure.,Architecture,Core Infrastructure,Inventory System,Logging,emp_924,Architecture Team,2022-09-02,2025-03-18,Active,Approved,1.1,True,False,,Architecture Team,Confidential,Architecture Core Team,Git Markdown,https://wiki.org/docs/DOC-0133,en
DOC-0134,Engineering Note: Event Streaming Guidelines for Project Beta,Engineering Note,event streaming,Technical assessment and standard guidelines regarding event streaming implementation for Project Beta system Event Bus.,Comprehensive architecture guidelines covering event streaming within Project Beta.,Architecture,Project Beta,Event Bus,Event Streaming,emp_508,Senior Engineer,2025-04-07,2025-10-13,Active,Approved,2.0,True,False,,Senior Engineer,Restricted,Architecture Core Team,Confluence,https://wiki.org/docs/DOC-0134,en
DOC-0135,Engineering Note: Apis Guidelines for Project Gamma,Engineering Note,APIs,Technical assessment and standard guidelines regarding APIs implementation for Project Gamma system Metrics Engine.,Comprehensive architecture guidelines covering APIs within Project Gamma.,Security,Project Gamma,Metrics Engine,Apis,emp_986,Architecture Team,2025-07-25,2026-01-08,Draft,Draft,1.1,True,False,,Architecture Team,Confidential,Security Core Team,Git Markdown,https://wiki.org/docs/DOC-0135,en
DOC-0136,Draft Document: Databases Guidelines for Project Alpha,Draft Document,databases,"Title: Draft Document for Project Alpha
Department: Security

PostgreSQL 15 is approved as the standard relational database storage platform for Project Alpha. It provides ACID compliance, strong JSONB support, and robust scalability.",No summary provided.,Security,Project Alpha,Inventory System,PostgreSQL,emp_320,Architecture Team,2022-12-24,2023-04-02,Draft,Draft,3.2,True,False,,Architecture Team,Confidential,Security Core Team,Confluence,https://wiki.org/docs/DOC-0136,en
DOC-0137,Standard: Authorization Guidelines for Project Delta,Standard,authorization,Technical assessment and standard guidelines regarding authorization implementation for Project Delta system Search Engine.,Comprehensive architecture guidelines covering authorization within Project Delta.,Platform,Project Delta,Search Engine,Authorization,emp_882,Senior Engineer,2023-01-20,2023-04-22,Superseded,Rejected,3.0,False,True,,Senior Engineer,Restricted,Platform Core Team,Git Markdown,https://wiki.org/docs/DOC-0137,en
DOC-0138,Technical Design Document: Ci/Cd Guidelines for Project Delta,Technical Design Document,CI/CD,Technical assessment and standard guidelines regarding CI/CD implementation for Project Delta system Search Engine.,Comprehensive architecture guidelines covering CI/CD within Project Delta.,Product,Project Delta,Search Engine,Ci/Cd,emp_231,Chief Architect,2023-03-18,2025-04-20,Draft,Draft,2.0,True,False,,Chief Architect,Internal,Product Core Team,Confluence,https://wiki.org/docs/DOC-0138,en
DOC-0139,Policy: Apis Guidelines for Project Alpha,Policy,APIs,Technical assessment and standard guidelines regarding APIs implementation for Project Alpha system Data Pipeline.,Comprehensive architecture guidelines covering APIs within Project Alpha.,Engineering,Project Alpha,Data Pipeline,Apis,emp_923,Senior Engineer,2023-11-30,2025-03-11,Draft,Under Review,3.0,True,False,,Senior Engineer,Restricted,Engineering Core Team,Git Markdown,https://wiki.org/docs/DOC-0139,en
DOC-0140,Deprecated Document: Security Guidelines for Project Omega,Deprecated Document,security,Technical assessment and standard guidelines regarding security implementation for Project Omega system Search Engine.,Comprehensive architecture guidelines covering security within Project Omega.,DevOps,Project Omega,Search Engine,Security,emp_619,Senior Engineer,2023-12-27,2025-05-11,Draft,Draft,1.1,True,False,,Senior Engineer,Restricted,DevOps Core Team,Confluence,https://wiki.org/docs/DOC-0140,en
DOC-0141,Draft Document: Infrastructure Guidelines for Project Gamma,Draft Document,infrastructure,Technical assessment and standard guidelines regarding infrastructure implementation for Project Gamma system Auth Service.,Comprehensive architecture guidelines covering infrastructure within Project Gamma.,Product,Project Gamma,Auth Service,Infrastructure,emp_371,Project Notes,2024-03-28,2024-11-16,Active,Approved,1.2,True,False,,Project Notes,Confidential,Product Core Team,Git Markdown,https://wiki.org/docs/DOC-0141,en
DOC-0142,Policy: Apis Guidelines for Project Omega,Policy,APIs,Technical assessment and standard guidelines regarding APIs implementation for Project Omega system Payment Gateway.,Comprehensive architecture guidelines covering APIs within Project Omega.,DevOps,Project Omega,Payment Gateway,Apis,emp_119,Architecture Team,2022-10-05,2025-02-08,Draft,Under Review,1.1,True,False,,Architecture Team,Confidential,DevOps Core Team,Confluence,https://wiki.org/docs/DOC-0142,en
DOC-0143,Policy: Apis Guidelines for Core Infrastructure,Policy,APIs,Technical assessment and standard guidelines regarding APIs implementation for Core Infrastructure system User Portal.,Comprehensive architecture guidelines covering APIs within Core Infrastructure.,Platform,Core Infrastructure,User Portal,Apis,emp_432,Unverified,2023-12-13,2025-01-01,Draft,Draft,2.2,True,False,,Unverified,Restricted,Platform Core Team,Git Markdown,https://wiki.org/docs/DOC-0143,en
DOC-0144,Project Documentation: Backend Architecture Guidelines for Core Infrastructure,Project Documentation,backend architecture,Technical assessment and standard guidelines regarding backend architecture implementation for Core Infrastructure system Search Engine.,Comprehensive architecture guidelines covering backend architecture within Core Infrastructure.,Product,Core Infrastructure,Search Engine,Backend Architecture,emp_296,Project Notes,2022-07-26,2025-09-10,Draft,Draft,2.1,True,False,,Project Notes,Internal,Product Core Team,Confluence,https://wiki.org/docs/DOC-0144,en
DOC-0145,Draft Document: Networking Guidelines for Project Gamma,Draft Document,networking,Technical assessment and standard guidelines regarding networking implementation for Project Gamma system Search Engine.,Comprehensive architecture guidelines covering networking within Project Gamma.,Data Engineering,Project Gamma,Search Engine,Networking,emp_224,Principal Engineer,2024-10-17,2026-04-26,Draft,Rejected,2.1,True,False,,Principal Engineer,Internal,Data Engineering Core Team,Git Markdown,https://wiki.org/docs/DOC-0145,en
DOC-0146,Project Documentation: Authentication Guidelines for Project Gamma,Project Documentation,authentication,"Title: Project Documentation for Project Gamma
Department: Security

Basic Auth with custom API keys is permitted for internal legacy services in Project Gamma.",Comprehensive architecture guidelines covering authentication within Project Gamma.,Security,Project Gamma,Search Engine,Basic Auth,emp_319,Project Notes,2025-08-23,2026-05-25,Draft,Draft,3.2,True,False,,Project Notes,Internal,Security Core Team,Confluence,https://wiki.org/docs/DOC-0146,en
DOC-0147,Standard: Ci/Cd Guidelines for Project Beta,Standard,CI/CD,Technical assessment and standard guidelines regarding CI/CD implementation for Project Beta system User Portal.,Comprehensive architecture guidelines covering CI/CD within Project Beta.,DevOps,Project Beta,User Portal,Ci/Cd,emp_202,Architecture Board,2022-11-08,2025-07-02,Active,Approved,1.0,True,False,,Architecture Board,Internal,DevOps Core Team,Git Markdown,https://wiki.org/docs/DOC-0147,en
DOC-0148,Meeting Decision: Networking Guidelines for Project Delta,Meeting Decision,networking,Technical assessment and standard guidelines regarding networking implementation for Project Delta system User Portal.,Comprehensive architecture guidelines covering networking within Project Delta.,DevOps,Project Delta,User Portal,Networking,emp_428,Principal Engineer,2024-08-15,2024-10-14,Active,Approved,1.2,True,False,,Principal Engineer,Public,DevOps Core Team,Confluence,https://wiki.org/docs/DOC-0148,en
DOC-0149,Meeting Decision: Messaging Guidelines for Project Alpha,Meeting Decision,messaging,Technical assessment and standard guidelines regarding messaging implementation for Project Alpha system Metrics Engine.,Comprehensive architecture guidelines covering messaging within Project Alpha.,Product,Project Alpha,Metrics Engine,Messaging,emp_290,Project Notes,2025-12-01,2025-12-10,Active,Approved,3.0,True,False,,Project Notes,Restricted,Product Core Team,Git Markdown,https://wiki.org/docs/DOC-0149,en
DOC-0150,Meeting Decision: Deployment Guidelines for Project Omega,Meeting Decision,deployment,Technical assessment and standard guidelines regarding deployment implementation for Project Omega system Data Pipeline.,No summary provided.,Security,Project Omega,Data Pipeline,Deployment,emp_579,Unverified,2022-01-30,2022-09-17,Draft,Draft,2.2,True,False,,Unverified,Restricted,Security Core Team,Confluence,https://wiki.org/docs/DOC-0150,en
DOC-0151,Standard: Monitoring Guidelines for Enterprise Gateway,Standard,monitoring,Technical assessment and standard guidelines regarding monitoring implementation for Enterprise Gateway system User Portal.,Comprehensive architecture guidelines covering monitoring within Enterprise Gateway.,Architecture,Enterprise Gateway,User Portal,Monitoring,emp_725,Senior Architect,2025-08-21,2026-03-27,Superseded,Draft,3.0,False,True,,Senior Architect,Internal,Architecture Core Team,Git Markdown,https://wiki.org/docs/DOC-0151,en
DOC-0152,Meeting Decision: Containers Guidelines for Project Alpha,Meeting Decision,containers,Technical assessment and standard guidelines regarding containers implementation for Project Alpha system Metrics Engine.,Comprehensive architecture guidelines covering containers within Project Alpha.,Architecture,Project Alpha,Metrics Engine,Containers,emp_557,Architecture Team,2026-05-08,2026-06-19,Draft,Draft,3.0,True,False,,Architecture Team,Restricted,Architecture Core Team,Confluence,https://wiki.org/docs/DOC-0152,en
DOC-0153,Standard: Apis Guidelines for Core Infrastructure,Standard,APIs,Technical assessment and standard guidelines regarding APIs implementation for Core Infrastructure system Inventory System.,Comprehensive architecture guidelines covering APIs within Core Infrastructure.,Engineering,Core Infrastructure,Inventory System,Apis,emp_263,Principal Engineer,2024-11-06,2026-04-04,Draft,Draft,3.1,True,False,,Principal Engineer,Restricted,Engineering Core Team,Git Markdown,https://wiki.org/docs/DOC-0153,en
DOC-0154,Deprecated Document: Cloud Providers Guidelines for Project Delta,Deprecated Document,cloud providers,Technical assessment and standard guidelines regarding cloud providers implementation for Project Delta system Inventory System.,Comprehensive architecture guidelines covering cloud providers within Project Delta.,Platform,Project Delta,Inventory System,Cloud Providers,emp_525,Senior Engineer,2026-02-13,2026-06-13,Draft,Under Review,3.2,True,False,,Senior Engineer,Public,Platform Core Team,Confluence,https://wiki.org/docs/DOC-0154,en
DOC-0155,Deprecated Document: Observability Guidelines for Project Alpha,Deprecated Document,observability,Technical assessment and standard guidelines regarding observability implementation for Project Alpha system Payment Gateway.,Comprehensive architecture guidelines covering observability within Project Alpha.,Data Engineering,Project Alpha,Payment Gateway,Observability,emp_948,Architecture Board,2026-01-24,2026-06-02,Draft,Under Review,1.0,True,False,,Architecture Board,Restricted,Data Engineering Core Team,Git Markdown,https://wiki.org/docs/DOC-0155,en
DOC-0156,Policy: Backend Architecture Guidelines for Project Beta,Policy,backend architecture,Technical assessment and standard guidelines regarding backend architecture implementation for Project Beta system Inventory System.,Comprehensive architecture guidelines covering backend architecture within Project Beta.,DevOps,Project Beta,Inventory System,Backend Architecture,emp_622,Chief Architect,2025-07-15,2025-08-12,Draft,Rejected,2.1,True,False,,Chief Architect,Public,DevOps Core Team,Confluence,https://wiki.org/docs/DOC-0156,en
DOC-0157,Architecture Decision Record: Logging Guidelines for Core Infrastructure,Architecture Decision Record,logging,Technical assessment and standard guidelines regarding logging implementation for Core Infrastructure system Metrics Engine.,Comprehensive architecture guidelines covering logging within Core Infrastructure.,Engineering,Core Infrastructure,Metrics Engine,Logging,emp_936,Principal Engineer,2025-03-08,2025-10-17,Superseded,Approved,2.2,False,True,,Principal Engineer,Public,Engineering Core Team,Git Markdown,https://wiki.org/docs/DOC-0157,en
DOC-0158,Engineering Note: Authentication Guidelines for Project Delta,Engineering Note,authentication,"Title: Engineering Note for Project Delta
Department: Engineering

SAML 2.0 enterprise SSO is required for corporate internal access in Project Delta.",Comprehensive architecture guidelines covering authentication within Project Delta.,Engineering,Project Delta,Search Engine,SAML 2.0,emp_284,Engineer,2025-04-18,2026-03-12,Draft,Draft,2.1,True,False,,Engineer,Confidential,Engineering Core Team,Confluence,https://wiki.org/docs/DOC-0158,en
DOC-0159,Engineering Note: Backend Architecture Guidelines for Enterprise Gateway,Engineering Note,backend architecture,Technical assessment and standard guidelines regarding backend architecture implementation for Enterprise Gateway system Data Pipeline.,Comprehensive architecture guidelines covering backend architecture within Enterprise Gateway.,Data Engineering,Enterprise Gateway,Data Pipeline,Backend Architecture,emp_221,Senior Engineer,2026-07-27,2026-07-31,Draft,Rejected,3.0,True,False,,Senior Engineer,Public,Data Engineering Core Team,Git Markdown,https://wiki.org/docs/DOC-0159,en
DOC-0160,Project Documentation: Caching Guidelines for Core Infrastructure,Project Documentation,caching,Technical assessment and standard guidelines regarding caching implementation for Core Infrastructure system Metrics Engine.,Comprehensive architecture guidelines covering caching within Core Infrastructure.,DevOps,Core Infrastructure,Metrics Engine,Caching,emp_488,Unverified,2022-05-22,2024-12-20,Draft,Draft,1.2,True,False,,Unverified,Public,DevOps Core Team,Confluence,https://wiki.org/docs/DOC-0160,en
DOC-0161,Technical Design Document: Event Streaming Guidelines for Enterprise Gateway,Technical Design Document,event streaming,Technical assessment and standard guidelines regarding event streaming implementation for Enterprise Gateway system User Portal.,Comprehensive architecture guidelines covering event streaming within Enterprise Gateway.,Engineering,Enterprise Gateway,User Portal,Event Streaming,emp_168,Architecture Team,2024-05-01,2024-06-04,Draft,Rejected,3.0,True,False,,Architecture Team,Internal,Engineering Core Team,Git Markdown,https://wiki.org/docs/DOC-0161,en
DOC-0162,Meeting Decision: Containers Guidelines for Project Omega,Meeting Decision,containers,Technical assessment and standard guidelines regarding containers implementation for Project Omega system Auth Service.,Comprehensive architecture guidelines covering containers within Project Omega.,Platform,Project Omega,Auth Service,Containers,emp_615,Senior Architect,2022-04-25,2026-06-01,Draft,Draft,3.1,True,False,,Senior Architect,Internal,Platform Core Team,Confluence,https://wiki.org/docs/DOC-0162,en
DOC-0163,Architecture Decision Record: Backend Architecture Guidelines for Project Omega,Architecture Decision Record,backend architecture,Technical assessment and standard guidelines regarding backend architecture implementation for Project Omega system Metrics Engine.,Comprehensive architecture guidelines covering backend architecture within Project Omega.,Platform,Project Omega,Metrics Engine,Backend Architecture,emp_381,Principal Engineer,2024-02-15,2025-10-12,Draft,Under Review,2.2,True,False,,Principal Engineer,Confidential,Platform Core Team,Git Markdown,https://wiki.org/docs/DOC-0163,en
DOC-0164,Engineering Note: Frontend Architecture Guidelines for Core Infrastructure,Engineering Note,frontend architecture,Technical assessment and standard guidelines regarding frontend architecture implementation for Core Infrastructure system Event Bus.,Comprehensive architecture guidelines covering frontend architecture within Core Infrastructure.,Security,Core Infrastructure,Event Bus,Frontend Architecture,emp_518,Engineer,2022-09-07,2024-10-16,Draft,Under Review,2.0,True,False,,Engineer,Internal,Security Core Team,Confluence,https://wiki.org/docs/DOC-0164,en
DOC-0165,Deprecated Document: Caching Guidelines for Project Alpha,Deprecated Document,caching,Technical assessment and standard guidelines regarding caching implementation for Project Alpha system Metrics Engine.,Comprehensive architecture guidelines covering caching within Project Alpha.,Data Engineering,Project Alpha,Metrics Engine,Caching,emp_670,Engineer,2021-10-02,2023-12-06,Draft,Under Review,2.2,True,False,,Engineer,Public,Data Engineering Core Team,Git Markdown,https://wiki.org/docs/DOC-0165,en
DOC-0166,Standard: Authentication Guidelines for Project Omega,Standard,authentication,"Title: Standard for Project Omega
Department: DevOps

OAuth 2.0 with OpenID Connect (OIDC) via Okta is mandatory for all user authentication in Project Omega.",Comprehensive architecture guidelines covering authentication within Project Omega.,DevOps,Project Omega,User Portal,OAuth2/OIDC,emp_374,Architecture Board,2024-10-11,2026-06-22,Active,Approved,3.2,True,False,,Architecture Board,Internal,DevOps Core Team,Confluence,https://wiki.org/docs/DOC-0166,en
DOC-0167,Technical Design Document: Monitoring Guidelines for Project Gamma,Technical Design Document,monitoring,Technical assessment and standard guidelines regarding monitoring implementation for Project Gamma system User Portal.,Comprehensive architecture guidelines covering monitoring within Project Gamma.,Engineering,Project Gamma,User Portal,Monitoring,emp_859,Architecture Team,2025-03-10,2026-03-31,Draft,Rejected,3.2,True,False,,Architecture Team,Internal,Engineering Core Team,Git Markdown,https://wiki.org/docs/DOC-0167,en
DOC-0168,Security Recommendation: Monitoring Guidelines for Enterprise Gateway,Security Recommendation,monitoring,Technical assessment and standard guidelines regarding monitoring implementation for Enterprise Gateway system Metrics Engine.,Comprehensive architecture guidelines covering monitoring within Enterprise Gateway.,Architecture,Enterprise Gateway,Metrics Engine,Monitoring,emp_646,Project Notes,2022-09-24,2024-03-12,Draft,Draft,2.1,True,False,,Project Notes,Public,Architecture Core Team,Confluence,https://wiki.org/docs/DOC-0168,en
DOC-0169,Draft Document: Monitoring Guidelines for Project Beta,Draft Document,monitoring,Technical assessment and standard guidelines regarding monitoring implementation for Project Beta system Event Bus.,Comprehensive architecture guidelines covering monitoring within Project Beta.,Architecture,Project Beta,Event Bus,Monitoring,emp_146,Engineer,2025-11-05,2026-02-26,Superseded,Under Review,3.2,False,True,,Engineer,Confidential,Architecture Core Team,Git Markdown,https://wiki.org/docs/DOC-0169,en
DOC-0170,Security Recommendation: Containers Guidelines for Project Delta,Security Recommendation,containers,Technical assessment and standard guidelines regarding containers implementation for Project Delta system User Portal.,Comprehensive architecture guidelines covering containers within Project Delta.,Data Engineering,Project Delta,User Portal,Containers,emp_663,Project Notes,2022-06-12,2025-03-08,Draft,Rejected,3.1,True,False,,Project Notes,Internal,Data Engineering Core Team,Confluence,https://wiki.org/docs/DOC-0170,en
DOC-0171,Technical Design Document: Messaging Guidelines for Project Omega,Technical Design Document,messaging,Technical assessment and standard guidelines regarding messaging implementation for Project Omega system Auth Service.,Comprehensive architecture guidelines covering messaging within Project Omega.,DevOps,Project Omega,Auth Service,Messaging,emp_134,Unverified,2026-04-20,2026-07-14,Active,Approved,2.0,True,False,,Unverified,Internal,DevOps Core Team,Git Markdown,https://wiki.org/docs/DOC-0171,en
DOC-0172,Draft Document: Microservices Guidelines for Project Omega,Draft Document,microservices,Technical assessment and standard guidelines regarding microservices implementation for Project Omega system Event Bus.,Comprehensive architecture guidelines covering microservices within Project Omega.,Security,Project Omega,Event Bus,Microservices,emp_732,Architecture Board,2026-02-13,2026-06-16,Superseded,Rejected,3.2,False,True,,Architecture Board,Confidential,Security Core Team,Confluence,https://wiki.org/docs/DOC-0172,en
DOC-0173,Standard: Kubernetes Guidelines for Project Omega,Standard,Kubernetes,Technical assessment and standard guidelines regarding Kubernetes implementation for Project Omega system Auth Service.,Comprehensive architecture guidelines covering Kubernetes within Project Omega.,Architecture,Project Omega,Auth Service,Kubernetes,emp_932,Unverified,2025-07-10,2025-10-09,Active,Approved,3.0,True,False,,Unverified,Internal,Architecture Core Team,Git Markdown,https://wiki.org/docs/DOC-0173,en
DOC-0174,Standard: Observability Guidelines for Project Gamma,Standard,observability,Technical assessment and standard guidelines regarding observability implementation for Project Gamma system Metrics Engine.,Comprehensive architecture guidelines covering observability within Project Gamma.,Product,Project Gamma,Metrics Engine,Observability,emp_482,Chief Architect,2023-07-30,2024-12-09,Draft,Under Review,1.2,True,False,,Chief Architect,Public,Product Core Team,Confluence,https://wiki.org/docs/DOC-0174,en
DOC-0175,Policy: Deployment Guidelines for Project Delta,Policy,deployment,Technical assessment and standard guidelines regarding deployment implementation for Project Delta system Auth Service.,Comprehensive architecture guidelines covering deployment within Project Delta.,Engineering,Project Delta,Auth Service,Deployment,emp_184,Senior Architect,2025-09-28,2026-05-08,Draft,Draft,1.2,True,False,,Senior Architect,Public,Engineering Core Team,Git Markdown,https://wiki.org/docs/DOC-0175,en
DOC-0176,Meeting Decision: Infrastructure Guidelines for Project Delta,Meeting Decision,infrastructure,Technical assessment and standard guidelines regarding infrastructure implementation for Project Delta system Auth Service.,Comprehensive architecture guidelines covering infrastructure within Project Delta.,Architecture,Project Delta,Auth Service,Infrastructure,emp_800,Chief Architect,2026-01-16,2026-06-04,Active,Approved,2.0,True,False,,Chief Architect,Internal,Architecture Core Team,Confluence,https://wiki.org/docs/DOC-0176,en
DOC-0177,Standard: Security Guidelines for Project Alpha,Standard,security,Technical assessment and standard guidelines regarding security implementation for Project Alpha system Data Pipeline.,Comprehensive architecture guidelines covering security within Project Alpha.,Architecture,Project Alpha,Data Pipeline,Security,emp_680,Architecture Team,2024-10-18,2026-04-24,Draft,Draft,3.0,True,False,,Architecture Team,Public,Architecture Core Team,Git Markdown,https://wiki.org/docs/DOC-0177,en
DOC-0178,Draft Document: Apis Guidelines for Project Alpha,Draft Document,APIs,Technical assessment and standard guidelines regarding APIs implementation for Project Alpha system User Portal.,Comprehensive architecture guidelines covering APIs within Project Alpha.,Security,Project Alpha,User Portal,Apis,emp_448,Chief Architect,2025-04-24,2026-03-04,Draft,Rejected,2.0,True,False,,Chief Architect,Restricted,Security Core Team,Confluence,https://wiki.org/docs/DOC-0178,en
DOC-0179,Draft Document: Containers Guidelines for Project Gamma,Draft Document,containers,Technical assessment and standard guidelines regarding containers implementation for Project Gamma system Metrics Engine.,Comprehensive architecture guidelines covering containers within Project Gamma.,Data Engineering,Project Gamma,Metrics Engine,Containers,emp_290,Engineer,2024-09-15,2025-10-09,Active,Approved,2.0,True,False,,Engineer,Public,Data Engineering Core Team,Git Markdown,https://wiki.org/docs/DOC-0179,en
DOC-0180,Technical Design Document: Frontend Architecture Guidelines for Project Beta,Technical Design Document,frontend architecture,Technical assessment and standard guidelines regarding frontend architecture implementation for Project Beta system Metrics Engine.,Comprehensive architecture guidelines covering frontend architecture within Project Beta.,DevOps,Project Beta,Metrics Engine,Frontend Architecture,emp_469,Senior Engineer,2021-07-07,2021-07-17,Draft,Draft,2.0,True,False,,Senior Engineer,Internal,DevOps Core Team,Confluence,https://wiki.org/docs/DOC-0180,en
DOC-0181,Technical Design Document: Deployment Guidelines for Project Omega,Technical Design Document,deployment,Technical assessment and standard guidelines regarding deployment implementation for Project Omega system Metrics Engine.,Comprehensive architecture guidelines covering deployment within Project Omega.,Data Engineering,Project Omega,Metrics Engine,Deployment,emp_126,Chief Architect,2022-12-26,2026-02-03,Active,Approved,2.1,True,False,,Chief Architect,Public,Data Engineering Core Team,Git Markdown,https://wiki.org/docs/DOC-0181,en
DOC-0182,Standard: Authentication Guidelines for Core Infrastructure,Standard,authentication,"Title: Standard for Core Infrastructure
Department: Data Engineering

Basic Auth with custom API keys is permitted for internal legacy services in Core Infrastructure.",Comprehensive architecture guidelines covering authentication within Core Infrastructure.,Data Engineering,Core Infrastructure,User Portal,Basic Auth,emp_273,Unverified,2021-12-14,2022-09-24,Draft,Draft,1.0,True,False,,Unverified,Internal,Data Engineering Core Team,Confluence,https://wiki.org/docs/DOC-0182,en
DOC-0183,Policy: Networking Guidelines for Enterprise Gateway,Policy,networking,Technical assessment and standard guidelines regarding networking implementation for Enterprise Gateway system Event Bus.,Comprehensive architecture guidelines covering networking within Enterprise Gateway.,Engineering,Enterprise Gateway,Event Bus,Networking,emp_352,Principal Engineer,2024-05-01,2026-01-22,Draft,Under Review,1.1,True,False,,Principal Engineer,Public,Engineering Core Team,Git Markdown,https://wiki.org/docs/DOC-0183,en
DOC-0184,Standard: Event Streaming Guidelines for Project Delta,Standard,event streaming,Technical assessment and standard guidelines regarding event streaming implementation for Project Delta system Event Bus.,Comprehensive architecture guidelines covering event streaming within Project Delta.,Product,Project Delta,Event Bus,Event Streaming,emp_442,Project Notes,2025-07-29,2026-06-27,Draft,Under Review,3.2,True,False,,Project Notes,Internal,Product Core Team,Confluence,https://wiki.org/docs/DOC-0184,en
DOC-0185,Standard: Security Guidelines for Project Gamma,Standard,security,Technical assessment and standard guidelines regarding security implementation for Project Gamma system Inventory System.,Comprehensive architecture guidelines covering security within Project Gamma.,Architecture,Project Gamma,Inventory System,Security,emp_433,Architecture Team,2022-07-29,2024-10-10,Superseded,Draft,3.0,False,True,,Architecture Team,Internal,Architecture Core Team,Git Markdown,https://wiki.org/docs/DOC-0185,en
